random_seed,kernel_size,stride,n_filters,crop,max_prob,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,norm,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,14,2,49,4,0.5,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,70.52833,70.50667,74.15,80.8,81.6,89.600006
0,16,2,49,4,0.5,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,61.530003,62.57833,70.24333,75.6,75.6,82.8
0,14,2,49,4,0.75,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,60.913334,61.578335,66.54667,84.0,80.8,85.2
0,12,2,49,4,0.75,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,67.625,68.16167,70.68001,83.200005,84.799995,86.4
0,14,2,49,4,1.0,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,49.473335,50.933334,58.845005,68.0,66.399994,76.4
0,12,4,49,4,1.0,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,48.886665,50.39,60.17667,64.0,67.2,76.4
0,16,2,100,4,0.75,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,75.32,75.825,76.48667,90.8,90.8,92.799995
0,14,4,49,4,0.75,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,39.989998,42.27333,54.121666,60.000004,61.199997,66.399994
0,14,2,100,4,0.5,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,75.535,76.21167,78.26167,90.0,89.600006,92.799995
0,14,4,100,4,1.0,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,42.680004,45.043335,58.364998,64.0,64.8,71.200005
0,12,4,100,4,0.75,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,68.995,69.50666,73.7,80.0,81.6,88.4
0,12,2,49,4,0.5,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,69.82667,70.403336,71.87667,86.0,84.799995,84.799995
0,12,4,100,4,0.5,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,75.47668,76.17333,78.68001,90.0,89.600006,91.6
0,16,4,49,4,1.0,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,51.721664,53.51167,61.413334,74.0,74.4,75.2
0,12,4,144,4,0.75,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,73.99,74.825,73.57,88.8,90.8,88.4
0,14,4,144,4,0.75,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,58.783333,60.421673,72.345,78.4,79.6,83.200005
0,16,4,49,4,0.75,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,56.496666,57.583332,65.00167,77.200005,77.600006,80.4
0,14,2,100,4,0.75,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,73.43833,74.07834,75.145004,90.0,89.600006,91.6
0,14,4,100,4,1.0,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,35.344997,37.59667,52.883335,59.2,62.4,68.4
0,14,4,100,4,0.5,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,58.543335,60.373333,71.53,75.2,76.4,85.6
0,16,2,49,4,0.75,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,46.013332,47.513332,60.546665,66.399994,67.2,73.2
0,16,4,49,4,0.5,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,66.28333,66.933334,72.14,78.799995,80.0,84.0
0,16,4,100,4,0.5,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,74.770004,75.68167,76.833336,86.0,86.799995,90.0
0,16,4,49,4,0.5,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,57.795002,58.71167,65.53166,80.8,80.4,82.4
0,16,4,100,4,1.0,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,68.115,69.005005,72.043335,78.0,80.0,88.4
0,12,4,49,4,1.0,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,31.415,33.996666,44.914997,46.0,50.800003,59.2
0,12,4,49,4,0.75,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,38.545,41.028336,53.329998,54.000004,56.4,72.799995
0,14,4,100,4,0.75,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,43.913338,46.07333,60.228333,69.2,68.4,72.399994
0,16,4,144,4,0.75,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,76.14167,76.666664,77.325,87.2,86.799995,89.600006
0,16,4,49,4,0.75,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,52.371662,54.326668,63.760002,69.6,70.4,77.600006
0,16,4,100,4,0.75,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,71.90667,72.76501,74.72334,81.6,82.8,87.6
0,14,4,144,4,0.5,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,62.835003,64.74999,75.68667,81.2,81.2,85.6
0,12,4,100,4,1.0,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,60.820004,61.986668,67.369995,75.6,74.8,82.0
0,14,4,49,4,1.0,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,25.15,27.701666,39.688335,47.600002,49.2,56.4
0,14,2,49,4,0.5,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,63.293335,63.545002,70.18999,76.0,78.799995,86.0
0,14,4,144,4,1.0,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,48.853336,51.008335,64.75667,72.799995,74.4,80.0
0,16,4,49,4,1.0,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,41.315,44.161667,56.935,60.8,60.399998,73.2
0,16,4,49,4,0.5,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,53.251667,55.665,66.175,75.6,75.2,78.4
