random_seed,n_neurons,n_train,start_inhib,max_inhib,p_low,norm,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
15,100,16000,1.0,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,40.89375,41.075,42.61875,56.0,55.0,63.0
15,100,16000,0.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,40.9375,40.94375,42.58125,56.0,56.0,65.0
11,100,16000,1.0,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,39.575,39.93125,42.28125,58.999996,60.000004,65.0
15,100,16000,2.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,45.59375,45.73125,46.1375,64.0,64.0,66.0
11,200,16000,2.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,56.2875,56.69375,58.01875,70.0,71.0,71.0
13,200,16000,1.0,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,55.6875,56.0125,57.99375,69.0,68.0,72.0
14,200,16000,2.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,55.10625,55.075,56.96875,74.0,73.0,72.0
13,100,16000,2.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,40.0,40.63125,40.25,52.999996,55.0,52.999996
12,100,16000,2.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,40.0875,40.54375,39.675,63.0,63.0,57.0
14,200,16000,1.0,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,55.10625,55.075,56.96875,74.0,73.0,72.0
15,200,16000,2.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,55.70625,56.125,57.5875,69.0,70.0,69.0
15,100,16000,2.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,40.29375,40.825,40.60625,56.0,57.0,56.0
11,100,16000,2.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,41.6,42.3125,40.9,55.0,55.0,52.0
13,100,16000,2.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,42.49375,42.85625,43.29375,57.0,58.0,60.000004
13,200,16000,2.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,55.6875,56.0125,57.99375,69.0,68.0,72.0
12,100,16000,1.0,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,39.09375,39.11875,38.29375,55.0,56.0,54.000004
13,100,16000,1.0,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,37.20625,37.48125,38.2,49.0,50.0,51.0
12,200,16000,0.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,55.0,54.95,57.50625,67.0,69.0,71.0
11,200,16000,1.0,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,56.2875,56.69375,58.01875,70.0,71.0,71.0
14,100,16000,0.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,35.04375,35.31875,35.55,48.0,48.0,50.0
15,200,16000,1.0,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,55.70625,56.125,57.5875,69.0,70.0,69.0
13,100,16000,0.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,35.525,36.04375,36.44375,47.0,49.0,50.0
11,100,16000,1.0,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,36.41875,36.875,36.88125,51.0,51.0,49.0
12,100,16000,0.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,35.1625,35.43125,35.44375,50.0,51.0,52.999996
15,100,16000,1.0,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,36.35625,36.41875,37.51875,51.0,52.0,52.999996
12,200,16000,2.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,48.4875,48.55625,48.80625,68.0,68.0,63.0
11,200,16000,2.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,49.2625,49.1875,50.225,67.0,67.0,66.0
14,200,16000,0.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,47.43125,47.45625,47.225,62.0,62.0,62.0
13,200,16000,0.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,46.925,47.14375,48.05625,64.0,65.0,67.0
11,100,16000,0.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,36.56875,36.7125,36.43125,49.0,49.0,48.0
14,100,16000,2.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,40.7625,40.81875,39.99375,61.0,58.0,55.0
11,200,16000,1.0,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,48.89375,48.95625,49.4,67.0,67.0,66.0
15,100,16000,0.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,36.65,36.55625,37.16875,51.0,51.0,50.0
14,200,16000,2.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,45.475,45.45625,46.2375,63.0,65.0,58.999996
12,200,16000,0.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,46.39375,46.4125,46.59375,67.0,67.0,63.0
15,200,16000,2.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,49.3125,49.25625,49.80625,61.0,61.0,61.0
12,200,16000,1.0,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,47.09375,47.1625,47.5125,68.0,68.0,63.0
15,200,16000,1.0,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,46.81875,46.875,47.43125,61.0,61.0,60.000004
13,200,16000,2.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,47.3875,47.33125,48.95,64.0,64.0,65.0
11,200,16000,0.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,48.23125,48.16875,48.94375,67.0,67.0,67.0
11,200,16000,2.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,46.95625,47.0,47.575,68.0,68.0,64.0
15,200,16000,0.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,46.425,46.425,47.05,61.0,61.0,61.0
15,200,16000,2.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,45.16875,44.99375,46.74375,58.0,58.0,58.999996
13,200,16000,1.0,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,42.98125,43.425,44.94375,64.0,64.0,63.0
14,200,16000,1.0,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,47.4875,47.71875,47.50625,58.999996,60.000004,61.0
