seed,n_hidden,n_train,time,lr,lr_decay,update_interval,max_prob,mean_accuracy,max_accuracy
0,60000,10,0.025,1.0,500,1.0,68.259995,73.799995
1,60000,10,0.005,0.99,500,1.0,85.89167,93.4
1,60000,10,0.025,0.995,500,1.0,73.94666,82.200005
1,60000,10,0.0075,0.99,500,1.0,85.215004,92.799995
0,60000,10,0.025,0.95,500,1.0,87.045,94.8
0,60000,10,0.01,1.0,500,1.0,80.95334,86.2
1,60000,10,0.0125,0.95,500,1.0,88.27666,95.0
0,60000,10,0.025,0.9,500,1.0,88.50167,93.6
1,60000,10,0.005,0.995,500,1.0,84.85,90.6
0,60000,10,0.025,0.99,500,1.0,77.67834,87.2
1,60000,10,0.005,0.9,500,1.0,88.145004,92.799995
0,60000,10,0.005,1.0,500,1.0,83.86167,89.200005
0,60000,10,0.01,0.9,500,1.0,88.63667,92.799995
0,60000,10,0.0125,0.99,500,1.0,83.621666,90.0
1,60000,10,0.0075,0.95,500,1.0,88.543335,94.8
1,60000,10,0.0075,0.9,500,1.0,88.58667,93.6
1,60000,10,0.01,0.99,500,1.0,84.54834,91.799995
1,60000,10,0.0075,1.0,500,1.0,82.564995,90.0
1,60000,10,0.0125,1.0,500,1.0,78.79833,84.2
0,60000,10,0.0125,0.995,500,1.0,81.62,87.2
0,60000,10,0.0075,0.95,500,1.0,88.45334,94.2
1,60000,10,0.025,0.9,500,1.0,88.471664,95.0
1,60000,10,0.01,0.995,500,1.0,83.14666,90.200005
0,60000,10,0.005,0.95,500,1.0,88.22167,93.8
0,60000,10,0.0075,0.99,500,1.0,85.204994,91.2
0,60000,10,0.0125,1.0,500,1.0,78.81167,85.0
1,60000,10,0.025,0.95,500,1.0,86.95,94.6
0,60000,10,0.0125,0.9,500,1.0,88.71333,93.4
0,60000,10,0.0075,0.995,500,1.0,84.2,90.4
0,60000,10,0.005,0.9,500,1.0,88.066666,93.6
1,60000,10,0.025,0.99,500,1.0,77.57333,86.6
0,60000,10,0.01,0.995,500,1.0,83.01501,88.4
0,60000,10,0.01,0.99,500,1.0,84.50833,90.6
0,60000,10,0.005,0.995,500,1.0,84.996666,89.8
1,60000,10,0.01,0.9,500,1.0,88.75167,94.2
0,60000,10,0.01,0.95,500,1.0,88.41501,93.6
1,60000,10,0.025,1.0,500,1.0,68.21667,73.6
1,60000,10,0.01,1.0,500,1.0,80.84499,86.4
1,60000,10,0.0125,0.9,500,1.0,88.84,93.8
1,60000,10,0.005,0.95,500,1.0,88.28166,94.0
1,60000,10,0.0075,0.995,500,1.0,84.1,90.0
2,60000,10,0.005,0.9,500,1.0,88.00833,92.4
2,60000,10,0.0075,0.99,500,1.0,85.24667,91.2
0,60000,10,0.0075,0.9,500,1.0,88.43667,93.6
2,60000,10,0.01,0.99,500,1.0,84.634995,90.8
2,60000,10,0.0125,0.95,500,1.0,88.14167,93.0
2,60000,10,0.0075,0.9,500,1.0,88.40833,93.4
2,60000,10,0.005,0.995,500,1.0,84.993324,89.8
2,60000,10,0.01,1.0,500,1.0,80.96667,86.799995
2,60000,10,0.005,1.0,500,1.0,84.05,89.0
2,60000,10,0.0125,0.9,500,1.0,88.57167,92.6
2,60000,10,0.01,0.95,500,1.0,88.23999,92.6
2,60000,10,0.025,0.95,500,1.0,86.88667,93.6
2,60000,10,0.01,0.9,500,1.0,88.700005,93.2
2,60000,10,0.005,0.99,500,1.0,85.738335,90.8
2,60000,10,0.0125,1.0,500,1.0,78.93501,84.4
2,60000,10,0.0125,0.99,500,1.0,83.76667,90.0
1,60000,10,0.0125,0.99,500,1.0,83.66167,90.8
2,60000,10,0.025,1.0,500,1.0,68.35833,76.8
2,60000,10,0.0075,1.0,500,1.0,82.59834,87.6
2,60000,10,0.025,0.99,500,1.0,77.326675,87.0
2,60000,10,0.025,0.995,500,1.0,73.905,82.6
3,60000,10,0.025,0.995,500,1.0,73.634995,81.8
3,60000,10,0.0125,0.95,500,1.0,88.17334,93.0
0,60000,10,0.025,0.995,500,1.0,73.50167,81.2
2,60000,10,0.005,0.95,500,1.0,88.159996,92.799995
