random_seed,n_neurons,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,200,6750,100.0,100,1.0,0.05,1e-07,0.5,10,250,41.86667,41.822224,51.629635,92.4,92.4,76.0
0,100,6750,100.0,150,1.0,0.625,1e-07,0.5,10,250,40.4,40.37037,49.748146,76.0,76.0,76.0
0,100,6750,100.0,150,1.0,0.625,5e-06,0.5,10,250,40.4,40.37037,49.748146,76.0,76.0,76.0
0,200,6750,100.0,100,1.0,0.05,5e-06,0.5,10,250,41.86667,41.822224,51.629635,92.4,92.4,76.0
0,100,6750,100.0,150,1.0,1.0,1e-07,0.5,10,250,42.192593,42.23704,49.91111,76.0,76.0,76.0
0,100,6750,100.0,150,1.0,1.0,1e-06,0.5,10,250,42.192593,42.23704,49.91111,76.0,76.0,76.0
0,100,6750,100.0,250,1.0,0.05,1e-07,0.5,10,250,41.08148,41.303703,51.15556,76.0,76.0,76.0
0,100,6750,100.0,250,1.0,0.05,1e-06,0.5,10,250,41.08148,41.303703,51.15556,76.0,76.0,76.0
0,100,6750,100.0,250,1.0,0.25,1e-07,0.5,10,250,41.33334,41.274075,51.64445,76.0,76.0,76.0
0,100,6750,100.0,250,1.0,0.25,5e-06,0.5,10,250,41.33334,41.274075,51.64445,76.0,76.0,76.0
0,100,6750,100.0,250,1.0,0.05,5e-06,0.5,10,250,41.08148,41.303703,51.15556,76.0,76.0,76.0
0,100,6750,100.0,150,1.0,1.0,5e-06,0.5,10,250,42.192593,42.23704,49.91111,76.0,76.0,76.0
0,200,6750,100.0,100,1.0,0.05,1e-06,0.5,10,250,41.86667,41.822224,51.629635,92.4,92.4,76.0
0,100,6750,100.0,250,1.0,0.25,1e-06,0.5,10,250,41.33334,41.274075,51.64445,76.0,76.0,76.0
0,200,6750,100.0,100,1.0,0.25,1e-07,0.5,10,250,39.674072,39.73333,49.585186,79.2,79.2,76.0
0,100,6750,100.0,250,1.0,0.625,1e-07,0.5,10,250,38.97778,39.022224,49.896294,76.0,76.0,76.0
0,100,6750,100.0,250,1.0,0.625,5e-06,0.5,10,250,38.97778,39.022224,49.896294,76.0,76.0,76.0
0,200,6750,100.0,100,1.0,0.25,1e-06,0.5,10,250,39.674072,39.73333,49.585186,79.2,79.2,76.0
0,200,6750,100.0,100,1.0,0.25,5e-06,0.5,10,250,39.674072,39.73333,49.585186,79.2,79.2,76.0
0,100,6750,100.0,250,1.0,0.625,1e-06,0.5,10,250,38.97778,39.022224,49.896294,76.0,76.0,76.0
0,200,6750,100.0,150,1.0,0.05,1e-07,0.5,10,250,39.925926,40.04444,52.97778,76.4,76.4,81.2
0,200,6750,100.0,100,1.0,0.625,5e-06,0.5,10,250,39.925926,39.911114,49.718513,76.0,76.0,76.0
0,200,6750,100.0,150,1.0,0.05,5e-06,0.5,10,250,39.925926,40.04444,52.97778,76.4,76.4,81.2
0,100,6750,100.0,250,1.0,1.0,1e-07,0.5,10,250,42.01482,41.999996,49.970367,76.0,76.0,76.0
0,100,6750,100.0,250,1.0,1.0,1e-06,0.5,10,250,42.01482,41.999996,49.970367,76.0,76.0,76.0
0,100,6750,100.0,250,1.0,1.0,5e-06,0.5,10,250,42.01482,41.999996,49.970367,76.0,76.0,76.0
0,200,6750,100.0,150,1.0,0.05,1e-06,0.5,10,250,39.925926,40.04444,52.97778,76.4,76.4,81.2
0,200,6750,100.0,100,1.0,0.625,1e-07,0.5,10,250,39.925926,39.911114,49.718513,76.0,76.0,76.0
0,200,6750,100.0,100,1.0,0.625,1e-06,0.5,10,250,39.925926,39.911114,49.718513,76.0,76.0,76.0
0,200,6750,100.0,100,1.0,1.0,1e-06,0.5,10,250,41.125927,41.096294,49.36296,76.0,76.0,76.0
0,300,6750,100.0,50,1.0,0.05,1e-06,0.5,10,250,46.325928,46.45926,52.13333,89.600006,89.600006,76.0
0,200,6750,100.0,150,1.0,0.25,1e-07,0.5,10,250,40.04444,40.059258,50.237038,76.0,76.0,76.0
0,200,6750,100.0,100,1.0,1.0,1e-07,0.5,10,250,41.125927,41.096294,49.36296,76.0,76.0,76.0
0,200,6750,100.0,150,1.0,0.25,5e-06,0.5,10,250,40.04444,40.059258,50.237038,76.0,76.0,76.0
0,200,6750,100.0,150,1.0,0.25,1e-06,0.5,10,250,40.04444,40.059258,50.237038,76.0,76.0,76.0
0,200,6750,100.0,100,1.0,1.0,5e-06,0.5,10,250,41.125927,41.096294,49.36296,76.0,76.0,76.0
0,300,6750,100.0,50,1.0,0.05,1e-07,0.5,10,250,46.325928,46.45926,52.13333,89.600006,89.600006,76.0
0,300,6750,100.0,50,1.0,0.25,5e-06,0.5,10,250,40.04445,40.0,49.718513,76.0,76.0,76.0
0,300,6750,100.0,50,1.0,0.05,5e-06,0.5,10,250,46.325928,46.45926,52.13333,89.600006,89.600006,76.0
0,300,6750,100.0,50,1.0,0.625,5e-06,0.5,10,250,40.681484,40.814816,49.392593,76.0,76.0,76.0
0,300,6750,100.0,50,1.0,0.25,1e-06,0.5,10,250,40.04445,40.0,49.718513,76.0,76.0,76.0
0,300,6750,100.0,50,1.0,0.625,1e-06,0.5,10,250,40.681484,40.814816,49.392593,76.0,76.0,76.0
0,200,6750,100.0,150,1.0,0.625,1e-07,0.5,10,250,40.48889,40.08889,50.133335,76.0,76.0,76.0
0,300,6750,100.0,50,1.0,0.25,1e-07,0.5,10,250,40.04445,40.0,49.718513,76.0,76.0,76.0
0,200,6750,100.0,250,1.0,0.05,5e-06,0.5,10,250,41.17037,41.051853,52.9037,76.4,76.4,76.4
0,300,6750,100.0,50,1.0,1.0,1e-07,0.5,10,250,42.059258,42.13333,49.333332,76.0,76.0,76.0
0,200,6750,100.0,150,1.0,0.625,5e-06,0.5,10,250,40.48889,40.08889,50.133335,76.0,76.0,76.0
0,200,6750,100.0,150,1.0,1.0,1e-06,0.5,10,250,41.55556,41.55556,49.481476,76.0,76.0,76.8
0,200,6750,100.0,250,1.0,0.05,1e-07,0.5,10,250,41.17037,41.051853,52.9037,76.4,76.4,76.4
0,300,6750,100.0,50,1.0,0.625,1e-07,0.5,10,250,40.681484,40.814816,49.392593,76.0,76.0,76.0
0,200,6750,100.0,150,1.0,0.625,1e-06,0.5,10,250,40.48889,40.08889,50.133335,76.0,76.0,76.0
0,200,6750,100.0,250,1.0,0.05,1e-06,0.5,10,250,41.17037,41.051853,52.9037,76.4,76.4,76.4
0,300,6750,100.0,100,1.0,0.05,5e-06,0.5,10,250,42.622223,42.607403,52.666668,92.4,92.4,76.0
0,200,6750,100.0,150,1.0,1.0,1e-07,0.5,10,250,41.55556,41.55556,49.481476,76.0,76.0,76.8
0,200,6750,100.0,250,1.0,0.25,5e-06,0.5,10,250,41.95556,42.059258,51.55555,76.0,76.0,76.0
0,200,6750,100.0,250,1.0,0.25,1e-07,0.5,10,250,41.95556,42.059258,51.55555,76.0,76.0,76.0
0,200,6750,100.0,250,1.0,0.25,1e-06,0.5,10,250,41.95556,42.059258,51.55555,76.0,76.0,76.0
0,200,6750,100.0,150,1.0,1.0,5e-06,0.5,10,250,41.55556,41.55556,49.481476,76.0,76.0,76.8
0,300,6750,100.0,100,1.0,0.05,1e-07,0.5,10,250,42.622223,42.607403,52.666668,92.4,92.4,76.0
0,300,6750,100.0,50,1.0,1.0,5e-06,0.5,10,250,42.059258,42.13333,49.333332,76.0,76.0,76.0
0,300,6750,100.0,50,1.0,1.0,1e-06,0.5,10,250,42.059258,42.13333,49.333332,76.0,76.0,76.0
0,300,6750,100.0,100,1.0,0.05,1e-06,0.5,10,250,42.622223,42.607403,52.666668,92.4,92.4,76.0
0,200,6750,100.0,250,1.0,0.625,1e-07,0.5,10,250,39.140743,39.214813,48.93333,76.0,76.0,76.0
0,200,6750,100.0,250,1.0,0.625,1e-06,0.5,10,250,39.140743,39.214813,48.93333,76.0,76.0,76.0
0,300,6750,100.0,100,1.0,0.25,1e-07,0.5,10,250,41.288895,41.348152,49.77778,80.0,80.0,76.4
0,300,6750,100.0,100,1.0,1.0,5e-06,0.5,10,250,40.8,40.770367,49.392597,76.0,76.0,76.0
0,300,6750,100.0,150,1.0,0.05,1e-07,0.5,10,250,42.414818,42.533333,51.34815,92.4,92.4,76.0
0,300,6750,100.0,100,1.0,0.25,5e-06,0.5,10,250,41.288895,41.348152,49.77778,80.0,80.0,76.4
0,200,6750,100.0,250,1.0,0.625,5e-06,0.5,10,250,39.140743,39.214813,48.93333,76.0,76.0,76.0
0,300,6750,100.0,150,1.0,0.25,5e-06,0.5,10,250,39.985184,40.251854,50.696297,76.0,76.0,76.0
0,300,6750,100.0,150,1.0,0.25,1e-07,0.5,10,250,39.985184,40.251854,50.696297,76.0,76.0,76.0
0,300,6750,100.0,100,1.0,0.25,1e-06,0.5,10,250,41.288895,41.348152,49.77778,80.0,80.0,76.4
0,300,6750,100.0,100,1.0,1.0,1e-06,0.5,10,250,40.8,40.770367,49.392597,76.0,76.0,76.0
0,300,6750,100.0,100,1.0,0.625,5e-06,0.5,10,250,40.992588,40.903706,49.762962,76.0,76.0,76.4
0,300,6750,100.0,150,1.0,0.05,1e-06,0.5,10,250,42.414818,42.533333,51.34815,92.4,92.4,76.0
0,300,6750,100.0,150,1.0,0.25,1e-06,0.5,10,250,39.985184,40.251854,50.696297,76.0,76.0,76.0
0,200,6750,100.0,250,1.0,1.0,1e-07,0.5,10,250,41.333332,41.34815,50.251854,76.0,76.0,76.0
0,300,6750,100.0,100,1.0,0.625,1e-07,0.5,10,250,40.992588,40.903706,49.762962,76.0,76.0,76.4
0,200,6750,100.0,250,1.0,1.0,5e-06,0.5,10,250,41.333332,41.34815,50.251854,76.0,76.0,76.0
0,200,6750,100.0,250,1.0,1.0,1e-06,0.5,10,250,41.333332,41.34815,50.251854,76.0,76.0,76.0
0,300,6750,100.0,150,1.0,0.05,5e-06,0.5,10,250,42.414818,42.533333,51.34815,92.4,92.4,76.0
0,300,6750,100.0,100,1.0,0.625,1e-06,0.5,10,250,40.992588,40.903706,49.762962,76.0,76.0,76.4
0,300,6750,100.0,100,1.0,1.0,1e-07,0.5,10,250,40.8,40.770367,49.392597,76.0,76.0,76.0
0,300,6750,100.0,250,1.0,0.05,1e-06,0.5,10,250,39.24445,39.155552,52.57778,76.0,76.0,76.4
0,300,6750,100.0,250,1.0,0.05,1e-07,0.5,10,250,39.24445,39.155552,52.57778,76.0,76.0,76.4
0,300,6750,100.0,250,1.0,0.05,5e-06,0.5,10,250,39.24445,39.155552,52.57778,76.0,76.0,76.4
0,300,6750,100.0,150,1.0,0.625,1e-06,0.5,10,250,41.17037,41.051853,49.68889,76.0,76.0,76.0
0,300,6750,100.0,250,1.0,0.25,1e-06,0.5,10,250,41.659256,41.68889,51.244442,76.0,76.0,76.0
0,300,6750,100.0,250,1.0,0.25,5e-06,0.5,10,250,41.659256,41.68889,51.244442,76.0,76.0,76.0
0,300,6750,100.0,150,1.0,0.625,1e-07,0.5,10,250,41.17037,41.051853,49.68889,76.0,76.0,76.0
0,300,6750,100.0,150,1.0,1.0,5e-06,0.5,10,250,41.614815,41.71852,49.7037,76.0,76.0,78.0
0,300,6750,100.0,250,1.0,0.25,1e-07,0.5,10,250,41.659256,41.68889,51.244442,76.0,76.0,76.0
0,300,6750,100.0,150,1.0,0.625,5e-06,0.5,10,250,41.17037,41.051853,49.68889,76.0,76.0,76.0
0,300,6750,100.0,150,1.0,1.0,1e-06,0.5,10,250,41.614815,41.71852,49.7037,76.0,76.0,78.0
0,300,6750,100.0,150,1.0,1.0,1e-07,0.5,10,250,41.614815,41.71852,49.7037,76.0,76.0,78.0
0,300,6750,100.0,250,1.0,0.625,5e-06,0.5,10,250,39.407406,39.407406,50.029633,76.0,76.0,76.0
0,300,6750,100.0,250,1.0,0.625,1e-06,0.5,10,250,39.407406,39.407406,50.029633,76.0,76.0,76.0
0,300,6750,100.0,250,1.0,0.625,1e-07,0.5,10,250,39.407406,39.407406,50.029633,76.0,76.0,76.0
0,300,6750,100.0,250,1.0,1.0,1e-07,0.5,10,250,41.94074,41.837036,49.674072,76.0,76.0,76.0
0,300,6750,100.0,250,1.0,1.0,1e-06,0.5,10,250,41.94074,41.837036,49.674072,76.0,76.0,76.0
0,300,6750,100.0,250,1.0,1.0,5e-06,0.5,10,250,41.94074,41.837036,49.674072,76.0,76.0,76.0
