seed,n_train,kernel_size,stride,n_filters,padding,inhib,time,dt,intensity,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
1,60000,4,4,49,0,100.0,25,1.0,0.5,250,12.066667,12.094999,11.411668,19.2,19.6,16.4
1,60000,10,2,16,0,100.0,50,1.0,0.5,250,10.461668,10.886667,12.630001,15.6,16.4,20.4
1,60000,12,4,81,0,100.0,50,1.0,0.5,250,10.251666,10.16,10.926666,16.0,16.4,16.4
1,60000,8,4,100,0,100.0,25,1.0,0.5,250,42.245,43.55167,26.998331,55.6,56.4,42.399998
1,60000,4,4,25,0,100.0,50,1.0,0.5,250,41.020004,43.241665,44.228333,54.000004,56.0,56.800003
1,60000,8,2,16,0,100.0,50,1.0,0.5,250,12.043334,12.158334,12.148334,20.4,20.800001,17.6
1,60000,8,4,9,0,100.0,100,1.0,0.5,250,9.903334,9.925,11.361667,14.8,15.2,17.2
1,60000,10,2,36,0,100.0,25,1.0,0.5,250,10.903334,11.755001,10.928332,17.2,18.0,16.0
1,60000,12,4,9,0,100.0,100,1.0,0.5,250,9.721666,9.745,10.641666,14.0,14.8,16.4
1,60000,16,2,9,0,100.0,25,1.0,0.5,250,10.371667,10.428332,11.946667,15.6,15.2,18.8
1,60000,12,4,16,0,100.0,100,1.0,0.5,250,10.346667,10.7716675,12.108334,16.4,16.8,17.6
1,60000,16,2,16,0,100.0,25,1.0,0.5,250,10.793333,10.793333,12.3,16.8,16.8,18.8
1,60000,14,2,49,0,100.0,25,1.0,0.5,250,12.946668,13.070001,13.683333,19.2,19.6,21.199999
1,60000,6,2,25,0,100.0,25,1.0,0.5,250,48.006664,48.953335,35.061665,62.800003,64.0,51.2
1,60000,6,2,16,0,100.0,50,1.0,0.5,250,16.635,17.046667,14.570002,25.2,26.800001,24.0
1,60000,4,4,36,0,100.0,50,1.0,0.5,250,13.765,13.923333,12.683333,21.199999,22.0,19.2
1,60000,16,2,25,0,100.0,25,1.0,0.5,250,21.598333,24.71,20.016666,34.4,38.0,32.8
1,60000,12,4,36,0,100.0,100,1.0,0.5,250,10.180001,10.406667,12.961667,15.2,15.2,20.0
1,60000,4,4,16,0,100.0,100,1.0,0.5,250,13.3949995,13.580001,16.913334,20.4,20.4,24.8
1,60000,12,2,49,0,100.0,25,1.0,0.5,250,11.418333,11.54,11.873333,17.6,19.2,20.4
1,60000,8,4,36,0,100.0,100,1.0,0.5,250,12.126666,12.303332,13.968334,18.4,18.4,21.199999
1,60000,12,2,25,0,100.0,50,1.0,0.5,250,34.58,36.325,27.6,52.0,52.0,45.6
1,60000,8,4,64,0,100.0,50,1.0,0.5,250,12.379999,12.4783325,11.363334,18.4,17.6,18.4
1,60000,12,4,100,0,100.0,50,1.0,0.5,250,35.201668,36.863335,28.411669,50.0,53.2,42.8
1,60000,12,4,25,0,100.0,100,1.0,0.5,250,19.321667,20.173332,25.733334,28.0,28.8,40.8
1,60000,16,2,36,0,100.0,25,1.0,0.5,250,11.55,11.611668,13.126666,18.4,19.2,19.6
1,60000,4,4,25,0,100.0,100,1.0,0.5,250,32.301666,33.52,38.708332,44.800003,47.2,54.000004
1,60000,10,2,25,0,100.0,50,1.0,0.5,250,28.713335,31.073334,24.425,41.2,43.6,40.4
1,60000,16,4,9,0,100.0,25,1.0,0.5,250,10.291667,10.303333,12.1033325,14.4,15.2,18.4
1,60000,8,2,9,0,100.0,100,1.0,0.5,250,10.465,10.569999,14.068333,16.8,16.0,22.8
1,60000,8,2,36,0,100.0,25,1.0,0.5,250,11.723333,11.886667,11.291667,16.8,18.4,16.8
1,60000,8,4,81,0,100.0,50,1.0,0.5,250,11.151667,11.095,10.766666,16.4,17.6,15.6
1,60000,14,2,25,0,100.0,50,1.0,0.5,250,22.868334,25.095,24.061666,33.199997,36.0,40.0
1,60000,12,2,36,0,100.0,50,1.0,0.5,250,10.86,10.915,11.591666,17.6,18.4,19.6
1,60000,16,4,16,0,100.0,25,1.0,0.5,250,10.450001,10.425,12.126666,15.2,15.6,18.0
1,60000,14,2,36,0,100.0,50,1.0,0.5,250,11.823334,11.9,12.503332,19.6,20.0,19.2
1,60000,16,2,9,0,100.0,50,1.0,0.5,250,10.54,10.591666,12.005,17.6,16.8,19.2
1,60000,16,2,16,0,100.0,50,1.0,0.5,250,10.631667,10.711667,12.205,15.6,15.2,19.2
1,60000,8,2,25,0,100.0,50,1.0,0.5,250,40.198338,41.65,30.123333,60.399998,60.399998,50.4
1,60000,12,2,9,0,100.0,100,1.0,0.5,250,9.809999,9.823333,11.911667,16.0,16.8,18.0
1,60000,4,4,9,0,100.0,100,1.0,0.5,250,10.988334,11.038333,13.396667,16.0,16.0,19.2
1,60000,12,4,64,0,100.0,100,1.0,0.5,250,10.7300005,10.938334,12.366667,16.4,17.6,18.8
1,60000,16,4,25,0,100.0,25,1.0,0.5,250,18.873333,21.085,22.108334,28.8,29.199999,33.199997
1,60000,10,2,9,0,100.0,100,1.0,0.5,250,10.265,10.595,13.768334,18.4,18.8,19.6
1,60000,4,4,36,0,100.0,100,1.0,0.5,250,14.136667,14.298334,15.193333,21.6,22.0,22.8
1,60000,14,2,16,0,100.0,100,1.0,0.5,250,10.54,10.506667,12.431667,16.4,16.0,18.8
1,60000,8,4,25,0,100.0,100,1.0,0.5,250,21.269999,21.983334,29.40667,32.4,34.4,47.600002
1,60000,16,2,25,0,100.0,50,1.0,0.5,250,22.181667,23.135,21.79,36.0,36.0,35.2
1,60000,4,4,64,0,100.0,25,1.0,0.5,250,12.22,12.278335,10.866667,17.6,17.6,17.2
1,60000,10,2,49,0,100.0,25,1.0,0.5,250,11.126667,12.001666,10.866667,17.2,19.2,16.4
1,60000,16,4,9,0,100.0,50,1.0,0.5,250,9.786667,9.740001,11.0633335,14.4,14.4,16.8
1,60000,12,4,49,0,100.0,100,1.0,0.5,250,9.675,9.619999,11.719999,15.6,16.0,18.8
1,60000,16,4,36,0,100.0,25,1.0,0.5,250,11.3533325,11.45,13.341666,17.6,18.0,21.6
1,60000,14,2,9,0,100.0,100,1.0,0.5,250,9.7316675,9.793333,11.916667,14.8,15.2,19.6
1,60000,8,4,16,0,100.0,100,1.0,0.5,250,11.925,12.051666,14.608334,20.0,20.0,21.199999
1,60000,16,2,49,0,100.0,25,1.0,0.5,250,11.8966675,11.993333,13.556667,17.2,17.2,20.4
1,60000,4,4,49,0,100.0,50,1.0,0.5,250,12.780001,12.991667,12.123334,22.400002,22.400002,18.8
1,60000,4,4,81,0,100.0,25,1.0,0.5,250,12.071667,12.134999,10.935,19.2,19.6,16.8
1,60000,16,4,16,0,100.0,50,1.0,0.5,250,9.971666,9.971666,11.755001,14.0,14.4,17.6
1,60000,16,4,49,0,100.0,25,1.0,0.5,250,11.328334,11.403334,13.0633335,18.4,18.0,22.0
1,60000,12,2,16,0,100.0,100,1.0,0.5,250,10.403334,10.4800005,12.38,15.2,15.6,18.4
1,60000,16,4,64,0,100.0,25,1.0,0.5,250,12.051666,12.258333,13.858334,19.2,20.0,21.6
1,60000,16,4,25,0,100.0,50,1.0,0.5,250,18.171665,19.413334,20.621668,28.400002,28.0,34.0
1,60000,10,2,16,0,100.0,100,1.0,0.5,250,10.413334,10.826666,13.306667,16.0,15.6,19.2
1,60000,10,2,36,0,100.0,50,1.0,0.5,250,10.548334,11.17,11.338334,17.2,17.6,18.4
1,60000,14,2,49,0,100.0,50,1.0,0.5,250,11.185,11.226666,11.973333,22.0,21.199999,18.0
1,60000,16,2,49,0,100.0,50,1.0,0.5,250,11.293333,11.361667,12.263332,17.2,16.4,18.4
