random_seed,n_neurons,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,100,5500,100.0,100,1.0,0.05,1e-06,0.5,10,100,44.98182,44.963634,56.927273,58.999996,58.999996,66.0
0,50,5500,100.0,100,1.0,0.625,1e-06,0.5,10,100,49.30909,49.745453,56.381817,61.0,61.0,68.0
0,50,5500,100.0,100,1.0,0.625,5e-06,0.5,10,100,49.30909,49.745453,56.381817,61.0,61.0,68.0
0,200,5500,100.0,50,1.0,0.05,5e-06,0.5,10,100,47.01818,47.29091,57.363636,60.000004,61.0,69.0
0,75,5500,100.0,50,1.0,0.05,1e-07,0.5,10,100,47.363636,47.30909,57.836365,62.0,63.0,67.0
0,100,5500,100.0,100,1.0,0.25,5e-06,0.5,10,100,48.381817,48.618183,58.2,60.000004,60.000004,70.0
0,100,5500,100.0,100,1.0,0.25,1e-07,0.5,10,100,48.381817,48.618183,58.2,60.000004,60.000004,70.0
0,100,5500,100.0,100,1.0,0.25,1e-06,0.5,10,100,48.381817,48.618183,58.2,60.000004,60.000004,70.0
0,50,5500,100.0,150,1.0,0.05,1e-06,0.5,10,100,47.036366,47.145454,56.98182,58.0,58.999996,66.0
0,50,5500,100.0,100,1.0,1.0,1e-06,0.5,10,100,49.563637,50.054546,53.81818,60.000004,62.0,65.0
0,50,5500,100.0,150,1.0,0.05,1e-07,0.5,10,100,47.036366,47.145454,56.98182,58.0,58.999996,66.0
0,25,5500,100.0,100,1.0,0.625,1e-07,0.5,10,100,46.763638,46.872726,54.072727,58.999996,58.0,68.0
0,25,5500,100.0,100,1.0,0.625,5e-06,0.5,10,100,46.763638,46.872726,54.072727,58.999996,58.0,68.0
0,50,5500,100.0,100,1.0,1.0,5e-06,0.5,10,100,49.563637,50.054546,53.81818,60.000004,62.0,65.0
0,200,5500,100.0,50,1.0,0.05,1e-06,0.5,10,100,47.01818,47.29091,57.363636,60.000004,61.0,69.0
0,75,5500,100.0,50,1.0,0.05,1e-06,0.5,10,100,47.363636,47.30909,57.836365,62.0,63.0,67.0
0,25,5500,100.0,100,1.0,0.25,1e-06,0.5,10,100,44.98182,45.036366,55.8,57.0,57.0,70.0
0,75,5500,100.0,50,1.0,0.05,5e-06,0.5,10,100,47.363636,47.30909,57.836365,62.0,63.0,67.0
0,25,5500,100.0,150,1.0,0.05,5e-06,0.5,10,100,45.8,46.054546,56.6,58.0,57.0,71.0
0,200,5500,100.0,50,1.0,0.25,5e-06,0.5,10,100,47.545456,47.872726,54.236362,57.0,57.0,66.0
0,200,5500,100.0,50,1.0,0.25,1e-07,0.5,10,100,47.545456,47.872726,54.236362,57.0,57.0,66.0
0,25,5500,100.0,150,1.0,0.05,1e-06,0.5,10,100,45.8,46.054546,56.6,58.0,57.0,71.0
0,25,5500,100.0,100,1.0,0.625,1e-06,0.5,10,100,46.763638,46.872726,54.072727,58.999996,58.0,68.0
0,100,5500,100.0,100,1.0,0.625,5e-06,0.5,10,100,49.345455,49.47273,58.21818,62.0,64.0,71.0
0,25,5500,100.0,100,1.0,1.0,5e-06,0.5,10,100,45.81818,46.345455,52.890907,55.0,57.0,66.0
0,25,5500,100.0,100,1.0,1.0,1e-06,0.5,10,100,45.81818,46.345455,52.890907,55.0,57.0,66.0
0,100,5500,100.0,100,1.0,0.625,1e-06,0.5,10,100,49.345455,49.47273,58.21818,62.0,64.0,71.0
0,200,5500,100.0,50,1.0,0.25,1e-06,0.5,10,100,47.545456,47.872726,54.236362,57.0,57.0,66.0
0,50,5500,100.0,150,1.0,0.25,1e-07,0.5,10,100,50.418182,50.29091,58.436363,64.0,63.0,66.0
0,50,5500,100.0,100,1.0,0.625,1e-07,0.5,10,100,49.30909,49.745453,56.381817,61.0,61.0,68.0
0,25,5500,100.0,100,1.0,1.0,1e-07,0.5,10,100,45.81818,46.345455,52.890907,55.0,57.0,66.0
0,75,5500,100.0,50,1.0,0.25,1e-07,0.5,10,100,47.581818,47.81818,54.345455,58.0,58.999996,65.0
0,75,5500,100.0,50,1.0,0.25,1e-06,0.5,10,100,47.581818,47.81818,54.345455,58.0,58.999996,65.0
0,200,5500,100.0,50,1.0,0.625,1e-06,0.5,10,100,46.98182,47.454544,52.436363,60.000004,61.0,68.0
0,50,5500,100.0,150,1.0,0.25,5e-06,0.5,10,100,50.418182,50.29091,58.436363,64.0,63.0,66.0
0,200,5500,100.0,50,1.0,0.625,5e-06,0.5,10,100,46.98182,47.454544,52.436363,60.000004,61.0,68.0
0,75,5500,100.0,50,1.0,0.25,5e-06,0.5,10,100,47.581818,47.81818,54.345455,58.0,58.999996,65.0
0,100,5500,100.0,100,1.0,1.0,5e-06,0.5,10,100,48.672726,49.109093,55.963634,58.999996,58.999996,67.0
0,25,5500,100.0,150,1.0,0.25,1e-06,0.5,10,100,48.945454,49.127274,54.69091,58.999996,60.000004,69.0
0,50,5500,100.0,100,1.0,1.0,1e-07,0.5,10,100,49.563637,50.054546,53.81818,60.000004,62.0,65.0
0,25,5500,100.0,150,1.0,0.25,5e-06,0.5,10,100,48.945454,49.127274,54.69091,58.999996,60.000004,69.0
0,100,5500,100.0,100,1.0,1.0,1e-06,0.5,10,100,48.672726,49.109093,55.963634,58.999996,58.999996,67.0
0,100,5500,100.0,100,1.0,1.0,1e-07,0.5,10,100,48.672726,49.109093,55.963634,58.999996,58.999996,67.0
0,200,5500,100.0,50,1.0,1.0,5e-06,0.5,10,100,48.52727,49.30909,52.563637,61.0,61.0,63.0
0,300,5500,100.0,50,1.0,0.05,5e-06,0.5,10,100,44.436363,44.70909,57.454544,58.0,58.0,77.0
0,100,5500,100.0,150,1.0,0.05,1e-06,0.5,10,100,45.145454,45.30909,56.581818,58.999996,58.999996,65.0
