random_seed,n_neurons,n_train,excite,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,X_Ae_decay,mean_all_activity,mean_proportion_weighting,max_all_activity,max_proportion_weighting
1,100,60000,100.0,550.0,200,1.0,0.05,1e-07,0.45,10,250,0.5,76.34583333333333,76.9625,88,89
1,100,60000,100.0,550.0,200,1.0,0.05,1e-07,0.45,10,250,0.0,76.34583333333333,76.9625,88,89
1,400,60000,100.0,400.0,200,1.0,0.05,1e-07,0.45,10,250,0.75,83.42083333333333,83.92083333333333,98,98
1,400,60000,100.0,400.0,200,1.0,0.05,1e-07,0.45,10,250,0.0,83.42083333333333,83.92083333333333,98,98
1,400,60000,100.0,400.0,200,1.0,0.05,1e-07,0.45,10,250,0.5,83.42083333333333,83.92083333333333,98,98
2,225,60000,100.0,400.0,200,1.0,0.05,1e-07,0.45,10,250,0.0,80.96666666666667,81.27916666666667,91,92
2,100,60000,100.0,450.0,200,1.0,0.05,1e-07,0.45,10,250,0.25,74.80416666666666,75.175,85,87
1,100,60000,100.0,550.0,200,1.0,0.05,1e-07,0.45,10,250,0.25,76.34583333333333,76.9625,88,89
1,225,60000,100.0,400.0,200,1.0,0.05,1e-07,0.45,10,250,0.75,80.875,81.375,91,92
2,100,60000,100.0,500.0,200,1.0,0.05,1e-07,0.45,10,250,0.75,75.45,75.77916666666667,89,90
1,400,60000,100.0,450.0,200,1.0,0.05,1e-07,0.45,10,250,0.5,82.99583333333334,83.34166666666667,95,97
1,400,60000,100.0,450.0,200,1.0,0.05,1e-07,0.45,10,250,0.0,82.99583333333334,83.34166666666667,95,97
1,400,60000,100.0,450.0,200,1.0,0.05,1e-07,0.45,10,250,0.25,82.99583333333334,83.34166666666667,95,97
2,225,60000,100.0,450.0,200,1.0,0.05,1e-07,0.45,10,250,0.5,81.17083333333333,81.76666666666667,92,92
1,100,60000,100.0,500.0,200,1.0,0.05,1e-07,0.45,10,250,0.0,75.125,75.675,85,86
1,225,60000,100.0,500.0,200,1.0,0.05,1e-07,0.45,10,250,0.0,82.02916666666667,82.46666666666667,93,93
2,225,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,83.34583333333333,83.8875,93,94
2,225,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,83.475,83.90833333333333,93,93
1,225,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,83.4375,84.0,93,93
2,225,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,83.34583333333333,83.8875,93,94
1,400,60000,100.0,500.0,200,1.0,0.05,1e-07,0.45,10,250,0.75,82.06666666666666,82.3875,94,94
