random_seed,kernel_size,stride,n_filters,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,max_all_activity,max_proportion_weighting
5,18,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.3375,83.725,93,93
5,14,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.60833333333333,84.9,94,95
3,12,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.0625,81.74166666666666,94,93
2,16,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.1625,83.47083333333333,94,94
2,18,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,87.75,88.05833333333334,95,96
4,14,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.75833333333334,86.225,94,94
1,18,4,196,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.93333333333334,83.1625,94,93
5,16,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.17916666666666,82.22083333333333,92,92
2,18,4,225,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,89.025,89.35416666666667,97,97
1,14,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.68333333333334,81.77083333333333,92,91
4,16,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.1875,85.525,96,95
3,16,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.18333333333334,85.55833333333334,94,94
5,12,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.27916666666667,81.9875,96,94
2,14,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.74166666666666,81.82916666666667,94,93
5,18,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.92083333333333,86.18333333333334,95,95
5,18,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.7,85.17083333333333,94,94
5,14,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.9625,86.19166666666666,95,95
2,18,4,196,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,88.6125,88.84166666666667,96,97
2,16,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.28333333333333,85.55416666666666,94,95
1,18,4,225,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.05,83.39166666666667,95,95
1,12,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,79.75833333333334,80.0375,96,95
1,16,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.36666666666666,81.70833333333333,92,91
1,14,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.63333333333334,82.7125,95,94
3,12,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.925,83.42083333333333,95,95
1,20,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.23333333333333,81.68333333333334,94,93
5,18,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,86.67916666666666,86.825,96,96
4,12,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.99583333333334,83.38333333333334,95,94
1,22,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,80.47083333333333,81.05416666666666,92,93
4,16,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.8125,86.25833333333334,95,96
1,20,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.62083333333334,83.58333333333333,94,94
2,14,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.19583333333334,82.65,93,93
1,22,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.0375,84.6,96,96
1,22,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.04166666666667,83.43333333333334,93,93
3,16,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,86.0875,86.62916666666666,94,94
5,18,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,87.12083333333334,87.4375,96,96
1,14,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.88333333333334,83.25416666666666,97,96
5,12,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.85833333333333,83.52083333333333,96,96
1,22,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.36666666666666,86.06666666666666,96,97
5,16,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.10416666666667,84.39583333333333,94,94
5,16,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.275,83.64166666666667,94,93
2,16,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,86.37083333333334,86.95,95,96
3,18,4,225,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,89.1,89.32916666666667,97,97
5,18,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,87.73333333333333,88.00416666666666,95,95
1,24,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.9375,79.6,92,91
1,24,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.50833333333334,81.98333333333333,93,92
1,22,2,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,79.1875,79.4625,90,90
1,22,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.69166666666666,86.4125,94,95
