seed,n_hidden,n_train,time,lr,lr_decay,update_interval,mean_accuracy,max_accuracy
0,32,60000,25,0.0075,0.99,500,82.80666,87.8
0,32,60000,25,0.0075,0.995,500,82.073326,87.6
0,32,60000,25,0.025,0.99,500,70.865,82.0
0,32,60000,25,0.025,0.9,500,84.67166,89.600006
0,32,60000,25,0.01,0.95,500,84.14832,89.8
0,64,60000,25,0.0075,0.995,500,84.829994,91.0
0,32,60000,25,0.0075,0.9,500,82.11667,88.6
0,64,60000,25,0.01,1.0,500,84.384995,90.0
0,32,60000,25,0.01,0.99,500,82.40833,87.8
0,64,60000,25,0.0075,0.99,500,85.12667,91.6
0,32,60000,25,0.01,0.9,500,83.56167,88.4
0,64,60000,25,0.0075,0.9,500,83.89167,89.4
0,64,60000,25,0.01,0.99,500,85.420006,91.399994
0,32,60000,25,0.01,1.0,500,80.68667,87.2
0,64,60000,25,0.01,0.9,500,85.121666,89.600006
1,32,60000,25,0.01,0.995,500,82.22334,89.0
0,64,60000,25,0.0075,1.0,500,84.42333,90.6
1,32,60000,25,0.01,0.9,500,83.54834,88.8
0,64,60000,25,0.0075,0.95,500,85.025,90.8
1,32,60000,25,0.01,1.0,500,80.85,86.6
1,32,60000,25,0.01,0.95,500,84.25833,89.600006
0,64,60000,25,0.01,0.995,500,84.99167,90.8
1,32,60000,25,0.0075,1.0,500,81.92334,89.0
1,32,60000,25,0.0075,0.99,500,83.134995,90.200005
1,32,60000,25,0.0075,0.95,500,83.96834,90.4
0,64,60000,25,0.025,0.99,500,82.94833,90.0
0,64,60000,25,0.025,1.0,500,75.11,82.8
0,64,60000,25,0.025,0.95,500,86.37334,92.4
0,32,60000,25,0.01,0.995,500,81.77166,87.2
0,32,60000,25,0.025,0.95,500,83.725,89.200005
1,32,60000,25,0.01,0.99,500,82.86833,89.8
0,32,60000,25,0.0075,0.95,500,83.659996,89.4
1,32,60000,25,0.025,1.0,500,11.961667,66.2
1,32,60000,25,0.025,0.9,500,78.05334,84.0
1,128,60000,10,0.0075,0.9,500,84.276665,90.0
1,128,60000,10,0.0075,0.995,500,85.09,92.2
1,128,60000,10,0.0075,1.0,500,84.745,91.799995
1,128,60000,10,0.01,0.95,500,85.85667,91.6
1,32,60000,25,0.0075,0.9,500,82.41,89.0
1,128,60000,10,0.0075,0.95,500,85.41167,92.4
1,128,60000,10,0.01,0.995,500,85.420006,91.799995
0,32,60000,25,0.0075,1.0,500,81.371666,87.4
1,128,60000,10,0.01,0.99,500,85.65,92.2
1,128,60000,10,0.025,1.0,500,46.01833,75.2
1,128,60000,10,0.01,0.9,500,85.189995,91.399994
1,128,60000,10,0.025,0.95,500,85.73167,92.4
1,128,60000,10,0.025,0.995,500,70.80666,81.2
1,128,60000,10,0.025,0.99,500,78.708336,88.0
1,32,60000,25,0.0075,0.995,500,82.62,90.6
1,128,60000,10,0.01,1.0,500,84.770004,90.8
1,256,60000,10,0.0075,0.95,500,85.505,92.4
1,256,60000,10,0.025,0.995,500,27.463335,71.8
1,256,60000,10,0.0075,1.0,500,84.868324,90.6
1,256,60000,10,0.0075,0.995,500,85.098335,91.6
0,256,60000,25,0.025,1.0,500,52.793335,84.2
1,256,60000,10,0.0075,0.99,500,85.22334,91.399994
1,256,60000,10,0.01,0.95,500,86.01,92.0
1,256,60000,10,0.01,0.99,500,85.73333,92.0
1,256,60000,10,0.01,0.9,500,85.268326,90.8
0,512,60000,25,0.025,0.99,500,25.298332,84.799995
1,256,60000,10,0.01,0.995,500,85.55667,91.799995
1,256,60000,10,0.025,0.9,500,80.57834,86.2
1,256,60000,10,0.0075,0.9,500,84.19666,89.8
0,128,60000,25,0.025,0.9,500,87.23333,91.799995
0,128,60000,25,0.01,0.99,500,86.244995,91.6
1,256,60000,10,0.01,1.0,500,84.99333,90.6
0,128,60000,25,0.025,1.0,500,69.855,82.6
0,128,60000,25,0.025,0.995,500,79.21333,85.799995
