random_seed,n_neurons,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,norm,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,100,60000,250.0,400,1.0,0.05,1e-07,0.5,125.0,10,250,44.593334,45.306667,47.09833,63.6,63.6,62.800003
0,100,60000,250.0,400,1.0,0.05,1e-07,0.5,50.0,10,250,38.143333,38.158333,37.89833,56.0,56.0,56.800003
0,100,60000,500.0,100,1.0,0.05,1e-07,0.5,150.0,10,250,50.975,51.184998,50.9,68.0,67.6,69.2
0,100,60000,500.0,200,1.0,0.05,1e-07,0.5,150.0,10,250,56.48167,56.690002,56.40333,68.8,68.8,67.2
0,100,60000,500.0,200,1.0,0.05,1e-07,0.5,125.0,10,250,59.06333,59.196663,59.033333,70.8,71.200005,72.399994
0,100,60000,500.0,200,1.0,0.05,1e-07,0.5,100.0,10,250,52.263332,52.34667,52.325,67.2,67.2,65.6
0,100,60000,500.0,200,1.0,0.05,1e-07,0.5,75.0,10,250,47.854996,47.89,47.92,64.4,64.4,64.0
0,100,60000,250.0,100,1.0,0.05,1e-07,0.5,150.0,10,250,41.838333,42.326668,44.48,68.4,68.0,66.799995
0,100,60000,250.0,100,1.0,0.05,1e-07,0.5,100.0,10,250,45.8,46.488335,49.756668,62.800003,64.4,67.2
0,100,60000,250.0,100,1.0,0.05,1e-07,0.5,50.0,10,250,38.396664,38.496662,38.836666,62.800003,62.800003,63.6
0,100,60000,250.0,200,1.0,0.05,1e-07,0.5,100.0,10,250,54.376667,54.693336,55.121666,66.799995,66.799995,66.799995
0,200,60000,250.0,100,1.0,0.05,1e-07,0.5,100.0,10,250,54.414997,54.966667,54.506664,72.399994,72.399994,72.399994
0,200,60000,250.0,100,1.0,0.05,1e-07,0.5,150.0,10,250,45.716667,46.825,48.791668,65.200005,66.399994,62.800003
0,100,60000,250.0,100,1.0,0.05,1e-07,0.5,150.0,10,250,42.02833,42.208332,44.204998,68.4,68.0,66.799995
0,100,60000,250.0,100,1.0,0.05,1e-07,0.5,100.0,10,250,45.515,46.23667,49.55,62.800003,64.4,67.2
0,300,60000,250.0,100,1.0,0.05,1e-07,0.5,150.0,10,250,50.168335,50.66333,50.555,71.6,72.799995,68.8
