random_seed,kernel_size,stride,n_filters,crop,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,norm,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,20,4,100,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,61.103333,61.17,65.21166,69.2,69.6,72.799995
0,18,4,100,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,55.989998,56.04667,60.94833,69.2,70.4,72.799995
0,14,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,58.91,60.388332,66.25166,70.4,70.8,75.6
0,16,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,60.381664,61.09,65.86833,70.0,70.4,75.2
0,20,4,100,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,61.233334,61.414997,64.92333,73.2,74.0,74.0
0,16,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,62.88667,63.531666,67.23167,71.6,73.6,76.0
0,14,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,62.525,63.316666,67.92667,71.6,73.2,77.600006
0,20,4,100,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,58.608334,59.414997,63.416668,69.2,70.0,71.6
0,14,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,59.84833,60.67667,66.348335,72.399994,73.2,76.4
0,18,2,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,47.748333,47.681664,56.614998,59.600002,58.0,67.2
0,10,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,59.083332,59.458332,66.64833,67.2,67.6,75.6
0,18,4,100,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,62.726665,63.081665,66.40666,73.6,74.4,76.4
0,18,4,100,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,56.933334,57.356667,62.666668,67.2,68.8,73.6
0,18,2,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,43.381664,42.505,53.646664,56.4,54.8,66.799995
